	GeoArea_FIPS	GeoArea_Key	GeoArea_Name	PZ_Name	WDB_Name	Economic_Measure_Name	Data_Period_Business_Key	GDP
972	37101	FIPS_37101	Johnston County	North Central		  Construction	2001	206707.0
973	37101	FIPS_37101	Johnston County	North Central		  Manufacturing	2001	1055411.0
974	37101	FIPS_37101	Johnston County	North Central		  Wholesale trade	2001	174562.0
975	37101	FIPS_37101	Johnston County	North Central		  Retail trade	2001	223996.0
976	37101	FIPS_37101	Johnston County	North Central		  Transportation and warehousing	2001	49002.0
977	37101	FIPS_37101	Johnston County	North Central		  Information	2001	23705.0
978	37101	FIPS_37101	Johnston County	North Central		   Real estate and rental and leasing	2001	277875.0
979	37101	FIPS_37101	Johnston County	North Central		  Professional and business services	2001	146359.0
980	37101	FIPS_37101	Johnston County	North Central		   Management of companies and enterprises	2001	
981	37101	FIPS_37101	Johnston County	North Central		   Administrative and support and waste management and remediation services	2001	54583.0
982	37101	FIPS_37101	Johnston County	North Central		   Educational services	2001	2228.0
983	37101	FIPS_37101	Johnston County	North Central		   Health care and social assistance	2001	90863.0
984	37101	FIPS_37101	Johnston County	North Central		   Arts, entertainment, and recreation	2001	5050.0
985	37101	FIPS_37101	Johnston County	North Central		   Accommodation and food services	2001	60062.0
986	37101	FIPS_37101	Johnston County	North Central		  Other services (except government and government enterprises)	2001	80342.0
987	37101	FIPS_37101	Johnston County	North Central		Government and government enterprises	2001	306249.0
988	37103	FIPS_37103	Jones County	Southeast	Eastern Carolina	  Agriculture, forestry, fishing and hunting	2001	49008.0
989	37103	FIPS_37103	Jones County	Southeast	Eastern Carolina	  Mining, quarrying, and oil and gas extraction	2001	0.0
990	37103	FIPS_37103	Jones County	Southeast	Eastern Carolina	  Utilities	2001	75.0
991	37103	FIPS_37103	Jones County	Southeast	Eastern Carolina	  Construction	2001	6456.0
992	37103	FIPS_37103	Jones County	Southeast	Eastern Carolina	  Manufacturing	2001	6200.0
993	37103	FIPS_37103	Jones County	Southeast	Eastern Carolina	  Wholesale trade	2001	5527.0
994	37103	FIPS_37103	Jones County	Southeast	Eastern Carolina	  Retail trade	2001	6341.0
995	37103	FIPS_37103	Jones County	Southeast	Eastern Carolina	  Transportation and warehousing	2001	5332.0
996	37103	FIPS_37103	Jones County	Southeast	Eastern Carolina	  Information	2001	
997	37103	FIPS_37103	Jones County	Southeast	Eastern Carolina	   Real estate and rental and leasing	2001	18951.0
998	37103	FIPS_37103	Jones County	Southeast	Eastern Carolina	  Professional and business services	2001	13586.0
999	37103	FIPS_37103	Jones County	Southeast	Eastern Carolina	   Management of companies and enterprises	2001	9286.0
1000	37103	FIPS_37103	Jones County	Southeast	Eastern Carolina	   Administrative and support and waste management and remediation services	2001	1200.0
1001	37103	FIPS_37103	Jones County	Southeast	Eastern Carolina	   Educational services	2001	320.0
1002	37103	FIPS_37103	Jones County	Southeast	Eastern Carolina	   Health care and social assistance	2001	11671.0
