,	GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
87,"99	"" """"37000""""""	North Carolina	5.0	CAINC6N	1603.0	623	    Nursing and residential care facilities	Thousands of dollars	1914247	2101405	2246146	2430201	2520038	2683450	2867610	2995292	3069744	3119237	3089814	3138407	3171105	3272669	3352467	3404210	3432672"
88,"100	"" """"37000""""""	North Carolina	5.0	CAINC6N	1604.0	624	    Social assistance	Thousands of dollars	1022496	1121317	1239225	1340560	1527653	1640415	1895756	2000877	2082373	2068188	2011269	2063060	2159398	2268581	2273243	2383246	2513841"
89,"105	"" """"37000""""""	North Carolina	5.0	CAINC6N	1800.0	72	   Accommodation and food services	Thousands of dollars	4447089	4581414	4833564	5217617	5463139	5821376	6291739	6455292	6289415	6473182	6714190	7331675	7613689	8132872	8661051	9171640	9676738"
90,"106	"" """"37000""""""	North Carolina	5.0	CAINC6N	1801.0	721	    Accommodation	Thousands of dollars	848625	847546	841978	900837	923882	961672	1034458	1074645	959595	976263	1024995	1108639	1133363	1208309	1292755	1331759	1427817"
91,"107	"" """"37000""""""	North Carolina	5.0	CAINC6N	1802.0	722	    Food services and drinking places	Thousands of dollars	3598464	3733868	3991586	4316780	4539257	4859704	5257281	5380647	5329820	5496919	5689195	6223036	6480326	6924563	7368296	7839881	8248921"
92,"108	"" """"37000""""""	North Carolina	5.0	CAINC6N	1900.0	81	   Other services (except government and government enterprises)	Thousands of dollars	4507896	4772333	4994059	5214685	5246843	5525013	5927857	6121353	5976100	5953315	6085060	6521405	6709905	7082091	7427960	7712687	7965802"
93,"109	"" """"37000""""""	North Carolina	5.0	CAINC6N	1901.0	811	    Repair and maintenance	Thousands of dollars	1091786	1136651	1136819	1195971	1198338	1252575	1344073	1336280	1262833	1271045	1368239	1524299	1588907	1634788	1731895	1861299	1933069"
94,"110	"" """"37000""""""	North Carolina	5.0	CAINC6N	1902.0	812	    Personal and laundry services	Thousands of dollars	949670	945135	940732	970155	967028	996799	1062299	1031727	964534	952390	984279	1039325	1072473	1119826	1204258	1290223	1349610"
95,"112	"" """"37000""""""	North Carolina	5.0	CAINC6N	1904.0	814	    Private households	Thousands of dollars	256458	249793	275100	293358	295180	316232	343810	364940	331418	292674	312828	308449	324491	371883	378708	358106	336303"
96,"113	"" """"37000""""""	North Carolina	5.0	CAINC6N	2000.0	...	  Government and government enterprises	Thousands of dollars	31627932	32989638	35303296	37891656	40660095	42890068	46288009	49233556	50933464	52490261	52765707	53184884	53810584	53867308	56173732	57318838	58573084"
97,"114	"" """"37000""""""	North Carolina	5.0	CAINC6N	2001.0	...	   Federal civilian	Thousands of dollars	3539931	3695635	3973480	4267186	4472151	4723656	5036921	5184335	5490421	5892407	6153440	6208855	6195771	6412859	6781065	7037814	7300559"
98,"115	"" """"37000""""""	North Carolina	5.0	CAINC6N	2002.0	...	   Military	Thousands of dollars	4498001	4949642	5946642	6500563	7360067	7775528	8607243	9727976	10608255	11291065	11411239	11221858	10693910	10429261	10360607	10556214	10299703"
99,"116	"" """"37000""""""	North Carolina	5.0	CAINC6N	2010.0	...	   State and local	Thousands of dollars	23590000	24344361	25383174	27123907	28827877	30390884	32643845	34321245	34834788	35306789	35201028	35754171	36920903	37025188	39032060	39724810	40972822"
100,"117	"" """"37000""""""	North Carolina	5.0	CAINC6N	2011.0	...	    State government	Thousands of dollars	7574849	7757856	8035874	8630798	9178363	9930489	10726057	11268351	11487416	11833383	11862424	11982636	12416098	12264703	12749493	12999281	13212921"
101,"118	"" """"37000""""""	North Carolina	5.0	CAINC6N	2012.0	...	    Local government	Thousands of dollars	16015151	16586505	17347300	18493109	19649514	20460395	21917788	23052894	23347372	23473406	23338604	23771535	24504805	24760485	26282567	26725529	27759901"
