,County	Collections
723,Iredell	9771427.0
724,Iredell	9823848.0
725,Iredell	10683903.0
726,Iredell	10355033.0
727,Iredell	10749403.0
728,Iredell	10557037.0
729,Iredell	10730227.0
730,Iredell	10755786.0
731,Iredell	11051072.0
732,Iredell	9033136.0
733,Iredell	9201068.0
734,Iredell	10748439.0
735,Jackson	2752454.0
736,Jackson	2475218.0
737,Jackson	2630541.0
738,Jackson	2472274.0
739,Jackson	2846953.0
740,Jackson	2759606.0
741,Jackson	2755099.0
742,Jackson	2234904.0
743,Jackson	2437490.0
744,Jackson	2275538.0
745,Jackson	2421721.0
746,Jackson	2225316.0
747,Jackson	1784921.0
748,Jackson	2253304.0
749,Jackson	1834550.0
750,Johnston	8450909.0
751,Johnston	8712216.0
752,Johnston	7127661.0
753,Johnston	8416038.0
754,Johnston	7802909.0
755,Johnston	8263390.0
756,Johnston	8463710.0
757,Johnston	8233203.0
758,Johnston	7379772.0
759,Johnston	8877031.0
760,Johnston	8215413.0
761,Johnston	8039478.0
762,Johnston	8139813.0
763,Johnston	8117153.0
764,Johnston	9833749.0
765,Jones	246968.0
766,Jones	199031.0
767,Jones	226772.0
768,Jones	129286.0
769,Jones	243224.0
770,Jones	199392.0
771,Jones	237053.0
772,Jones	177552.0
773,Jones	198542.0
774,Jones	231520.0
775,Jones	213283.0
776,Jones	221413.0
777,Jones	283603.0
778,Jones	324439.0
779,Jones	201034.0
780,Lee	3462606.0
781,Lee	2956367.0
782,Lee	3505703.0
783,Lee	3855033.0
784,Lee	2817026.0
785,Lee	3020332.0
786,Lee	3472976.0
787,Lee	3258976.0
788,Lee	3429421.0
789,Lee	3338280.0
790,Lee	3607703.0
791,Lee	3236838.0
792,Lee	3350200.0
793,Lee	3668520.0
794,Lee	3257124.0
795,Lenoir	2076908.0
796,Lenoir	2478522.0
797,Lenoir	2457719.0
798,Lenoir	2279801.0
799,Lenoir	2646489.0
800,Lenoir	2533545.0
801,Lenoir	2475568.0
802,Lenoir	2390990.0
803,Lenoir	2117523.0
804,Lenoir	2694680.0
805,Lenoir	2497231.0
806,Lenoir	2340509.0
807,Lenoir	2323387.0
808,Lenoir	2425130.0
809,Lenoir	2437155.0
810,Lincoln	3984006.0
811,Lincoln	3277032.0
812,Lincoln	3994101.0
813,Lincoln	3959173.0
814,Lincoln	4139192.0
815,Lincoln	3872703.0
816,Lincoln	3899246.0
817,Lincoln	4157019.0
818,Lincoln	3591651.0
819,Lincoln	4160307.0
820,Lincoln	4242062.0
821,Lincoln	3794934.0
822,Lincoln	3838141.0
823,Lincoln	3128621.0
824,Lincoln	3262326.0
825,Macon	1646254.0
826,Macon	2652935.0
827,Macon	2404733.0
828,Macon	2101908.0
829,Macon	2594108.0
830,Macon	2750971.0
831,Macon	2291412.0
832,Macon	2403686.0
833,Macon	2071753.0
834,Macon	2637862.0
835,Macon	2298990.0
836,Macon	2592987.0
837,Macon	1594577.0
838,Macon	2152599.0
839,Macon	2397286.0
840,Madison	391977.0
841,Madison	507024.0
842,Madison	469968.0
843,Madison	554376.0
844,Madison	520943.0
845,Madison	544323.0
846,Madison	531348.0
847,Madison	539153.0
848,Madison	471097.0
849,Madison	677881.0
850,Madison	494677.0
851,Madison	444874.0
852,Madison	450440.0
853,Madison	502489.0
854,Madison	502730.0
855,Martin	839020.0
856,Martin	815467.0
857,Martin	863470.0
858,Martin	809174.0
859,Martin	770592.0
860,Martin	869829.0
861,Martin	844985.0
862,Martin	843863.0
863,Martin	922270.0
864,Martin	842111.0
865,Martin	945063.0
866,Martin	895912.0
867,Martin	744304.0
868,Martin	820076.0
869,Martin	863368.0
870,McDowell	1708318.0
871,McDowell	1537958.0
872,McDowell	1715870.0
873,McDowell	1360583.0
874,McDowell	1758688.0
875,McDowell	1576096.0
876,McDowell	1649390.0
877,McDowell	1682647.0
878,McDowell	1643232.0
