County	Sales
Nash	93393013.0
Nash	4338698.0
Nash	89347308.0
Nash	103591150.0
Nash	94065243.0
Nash	90822747.0
Nash	106272437.0
Nash	4657177.0
New Hanover	410729587.0
New Hanover	452501827.0
New Hanover	20567564.0
New Hanover	418807210.0
New Hanover	461960006.0
New Hanover	471371081.0
New Hanover	21004487.0
New Hanover	376013147.0
New Hanover	465388059.0
New Hanover	335318154.0
New Hanover	388748067.0
New Hanover	457492501.0
New Hanover	434454580.0
New Hanover	479763320.0
New Hanover	480169916.0
Northampton	9367348.0
Northampton	19052878.0
Northampton	8433284.0
Northampton	8724333.0
Northampton	9317890.0
Northampton	8818776.0
Northampton	400710.0
Northampton	9274327.0
Northampton	9553889.0
Northampton	420391.0
Northampton	9288610.0
Northampton	8968551.0
Northampton	8175255.0
Northampton	9244008.0
Northampton	8638909.0
Onslow	9787655.0
Onslow	192779002.0
Onslow	199788167.0
Onslow	219273246.0
Onslow	212514721.0
Onslow	193795200.0
Onslow	223668086.0
Onslow	208840729.0
Onslow	162662167.0
Onslow	183143879.0
Onslow	211682639.0
Onslow	9974686.0
Onslow	213234146.0
Onslow	185838020.0
Onslow	221950803.0
Orange	145875532.0
Orange	168061444.0
Orange	145067261.0
Orange	166836979.0
Orange	167943813.0
Orange	165494377.0
Orange	167103848.0
Orange	164532427.0
Orange	199263320.0
Orange	175267657.0
Orange	7460431.0
Orange	7919414.0
Orange	154499178.0
Orange	173307429.0
Orange	156037824.0
Pamlico	9880077.0
Pamlico	399086.0
Pamlico	9985090.0
Pamlico	9195954.0
Pamlico	9449200.0
Pamlico	8447381.0
Pamlico	7959033.0
Pamlico	8333018.0
Pamlico	7376132.0
Pamlico	7987432.0
Pamlico	7995240.0
Pamlico	8897550.0
Pamlico	448133.0
Pamlico	7513572.0
Pamlico	9346221.0
Pasquotank	45626990.0
Pasquotank	2096762.0
Pasquotank	48568613.0
Pasquotank	44553887.0
Pasquotank	47075451.0
Pasquotank	46220043.0
Pasquotank	2026087.0
Pasquotank	40262085.0
Pasquotank	38988498.0
Pasquotank	46706691.0
Pasquotank	50494243.0
Pasquotank	50554834.0
Pasquotank	37720844.0
Pasquotank	48888056.0
Pasquotank	47827092.0
Pender	60343427.0
Pender	37359774.0
Pender	52916176.0
Pender	45562317.0
Pender	37675688.0
Pender	38341635.0
Pender	44816749.0
Pender	48220323.0
Pender	42673807.0
Pender	50191575.0
Pender	2005716.0
Pender	47331108.0
Pender	55278545.0
Pender	2060463.0
Pender	60719576.0
Perquimans	6067052.0
Perquimans	5070194.0
Perquimans	6914141.0
Perquimans	5356836.0
Perquimans	4653890.0
Perquimans	256250.0
Perquimans	5542592.0
Perquimans	6547976.0
Perquimans	5449465.0
Perquimans	4249712.0
Perquimans	5458526.0
Perquimans	6501292.0
Perquimans	251060.0
Perquimans	7178025.0
Perquimans	5685148.0
Person	30391193.0
Person	28341367.0
Person	32436283.0
Person	29440001.0
Person	27516484.0
Person	30392311.0
Person	28600979.0
Person	26768393.0
Person	1438962.0
Person	30182299.0
Person	30278411.0
Person	1419936.0
Person	29342274.0
Person	33711636.0
Person	29680040.0
Pitt	182545230.0
Pitt	209582701.0
Pitt	192509243.0
Pitt	214781888.0
Pitt	227238435.0
Pitt	216610515.0
Pitt	10044245.0
Pitt	213127350.0
Pitt	186045573.0
Pitt	218454614.0
Pitt	221207715.0
Pitt	10182233.0
Pitt	224604263.0
Pitt	209119235.0
Pitt	223150822.0
Polk	12807884.0
Polk	31329818.0
Polk	12822219.0
Polk	709842.0
Polk	12919860.0
Polk	13779991.0
Polk	14714401.0
Polk	576400.0
Polk	14161193.0
Polk	15136760.0
Polk	14141485.0
Polk	11150518.0
Polk	12953568.0
Polk	13055597.0
Polk	13147631.0
Randolph	4973106.0
Randolph	107942438.0
Randolph	112209750.0
Randolph	91257670.0
Randolph	112083939.0
Randolph	113127413.0
Randolph	107900597.0
Randolph	93327677.0
Randolph	104602738.0
Randolph	110545937.0
Randolph	111612531.0
Randolph	4936551.0
Randolph	102268053.0
Randolph	107891635.0
Randolph	95404940.0
Richmond	30731105.0
Richmond	42516275.0
Richmond	28667759.0
Richmond	30071575.0
Richmond	32672206.0
Richmond	39607644.0
Richmond	1549076.0
Richmond	34702569.0
Richmond	32680814.0
Richmond	30222096.0
Richmond	32815741.0
Richmond	36507062.0
Richmond	1555387.0
Richmond	39613232.0
Richmond	33514846.0
Robeson	108959982.0
Robeson	4782694.0
Robeson	101476241.0
Robeson	88200033.0
Robeson	4418695.0
Robeson	89829424.0
Robeson	94022965.0
Robeson	89665330.0
Robeson	96779606.0
Robeson	110104506.0
Robeson	94078780.0
Robeson	98908354.0
Robeson	87248062.0
Robeson	100030871.0
Robeson	94274900.0
Rockingham	68574016.0
Rockingham	68595483.0
Rockingham	67286409.0
Rockingham	2926395.0
Rockingham	66148587.0
Rockingham	3036493.0
Rockingham	59866203.0
Rockingham	58224815.0
Rockingham	65460856.0
Rockingham	62601329.0
Rockingham	60588049.0
Rockingham	66132829.0
Rockingham	66243055.0
Rockingham	63424921.0
Rockingham	62977678.0
Rowan	146917666.0
Rowan	104447101.0
Rowan	5591675.0
Rowan	122549170.0
Rowan	112304324.0
Rowan	121000037.0
Rowan	122693288.0
Rowan	132709302.0
Rowan	127084872.0
Rowan	124471900.0
Rowan	122538233.0
Rowan	5745209.0
Rowan	120603557.0
Rowan	125023773.0
Rowan	121720385.0
Rutherford	62011068.0
Rutherford	2836523.0
Rutherford	58767403.0
Rutherford	59254156.0
Rutherford	2612221.0
Rutherford	57961370.0
Rutherford	54936269.0
Rutherford	58485031.0
Rutherford	47817120.0
Rutherford	60257921.0
Rutherford	58032622.0
Rutherford	56733633.0
Rutherford	55445115.0
Rutherford	54348731.0
Rutherford	44369274.0
Sampson	41435143.0
Sampson	39746428.0
Sampson	41967089.0
Sampson	45459703.0
Sampson	41800668.0
Sampson	2084930.0
Sampson	46150800.0
Sampson	41517162.0
Sampson	43331781.0
Sampson	42826324.0
Sampson	37721860.0
Sampson	2007016.0
Sampson	38279428.0
Sampson	41009311.0
Sampson	45792538.0
Scotland	28404540.0
Scotland	25354725.0
Scotland	27480398.0
Scotland	27462050.0
Scotland	25991876.0
Scotland	24301686.0
Scotland	25284847.0
Scotland	1377289.0
Scotland	31336215.0
Scotland	1256022.0
Scotland	23894392.0
Scotland	24862734.0
Scotland	29080057.0
Scotland	25733959.0
Scotland	24794888.0
Stanly	48783521.0
Stanly	58056975.0
Stanly	2356824.0
Stanly	49870285.0
Stanly	63355343.0
Stanly	59242837.0
Stanly	60051645.0
Stanly	56291998.0
Stanly	45978475.0
Stanly	58547120.0
Stanly	59408933.0
Stanly	2543569.0
Stanly	56803760.0
Stanly	63459274.0
Stanly	60290572.0
Stokes	23100389.0
Stokes	20472710.0
Stokes	19453594.0
Stokes	22674580.0
Stokes	24609865.0
Stokes	23212933.0
Stokes	21781677.0
