GeoArea_FIPS	GeoArea_Key	GeoArea_Name	PZ_Name	WDB_Name	Economic_Measure_Name	Data_Period_Business_Key	GDP
37029	FIPS_37029	Camden County	Northeast	Northeastern	  Manufacturing	2001	20819
37029	FIPS_37029	Camden County	Northeast	Northeastern	  Wholesale trade	2001	2857
37029	FIPS_37029	Camden County	Northeast	Northeastern	  Retail trade	2001	7385
37029	FIPS_37029	Camden County	Northeast	Northeastern	  Transportation and warehousing	2001	
37029	FIPS_37029	Camden County	Northeast	Northeastern	  Information	2001	8345
37029	FIPS_37029	Camden County	Northeast	Northeastern	   Real estate and rental and leasing	2001	15134
37029	FIPS_37029	Camden County	Northeast	Northeastern	  Professional and business services	2001	14078
37029	FIPS_37029	Camden County	Northeast	Northeastern	   Management of companies and enterprises	2001	9279
37029	FIPS_37029	Camden County	Northeast	Northeastern	   Administrative and support and waste management and remediation services	2001	2093
37029	FIPS_37029	Camden County	Northeast	Northeastern	   Educational services	2001	
37029	FIPS_37029	Camden County	Northeast	Northeastern	   Health care and social assistance	2001	
37029	FIPS_37029	Camden County	Northeast	Northeastern	   Arts, entertainment, and recreation	2001	
37029	FIPS_37029	Camden County	Northeast	Northeastern	   Accommodation and food services	2001	
37029	FIPS_37029	Camden County	Northeast	Northeastern	  Other services (except government and government enterprises)	2001	5611
37029	FIPS_37029	Camden County	Northeast	Northeastern	Government and government enterprises	2001	16709
37031	FIPS_37031	Carteret County	Southeast	Eastern Carolina	  Agriculture, forestry, fishing and hunting	2001	7508
37031	FIPS_37031	Carteret County	Southeast	Eastern Carolina	  Mining, quarrying, and oil and gas extraction	2001	0
37031	FIPS_37031	Carteret County	Southeast	Eastern Carolina	  Utilities	2001	7853
37031	FIPS_37031	Carteret County	Southeast	Eastern Carolina	  Construction	2001	92100
37031	FIPS_37031	Carteret County	Southeast	Eastern Carolina	  Manufacturing	2001	96813
